simulation,t,n_t
0,3.7875000000000063,-105
0,3.8250000000000064,-105
0,3.8625000000000065,-105
0,3.9000000000000066,-105
0,3.9375000000000067,-104
0,3.9750000000000068,-103
0,4.012500000000006,-103
0,4.050000000000006,-103
0,4.087500000000006,-103
0,4.125000000000005,-103
0,4.162500000000005,-102
0,4.200000000000005,-102
0,4.237500000000004,-102
0,4.275000000000004,-101
0,4.3125000000000036,-101
0,4.350000000000003,-101
0,4.387500000000003,-101
0,4.4250000000000025,-101
0,4.462500000000002,-101
0,4.500000000000002,-101
0,4.537500000000001,-101
0,4.575000000000001,-100
0,4.612500000000001,-99
0,4.65,-99
0,4.6875,-99
0,4.725,-99
0,4.762499999999999,-99
0,4.799999999999999,-99
0,4.837499999999999,-99
0,4.874999999999998,-98
0,4.912499999999998,-98
0,4.9499999999999975,-98
0,4.987499999999997,-98
0,5.024999999999997,-98
0,5.0624999999999964,-97
0,5.099999999999996,-97
0,5.137499999999996,-97
0,5.174999999999995,-97
0,5.212499999999995,-97
0,5.249999999999995,-97
0,5.287499999999994,-97
0,5.324999999999994,-95
0,5.362499999999994,-94
0,5.399999999999993,-94
0,5.437499999999993,-94
0,5.4749999999999925,-94
0,5.512499999999992,-94
0,5.549999999999992,-94
0,5.5874999999999915,-93
0,5.624999999999991,-93
0,5.662499999999991,-93
0,5.69999999999999,-93
0,5.73749999999999,-93
0,5.77499999999999,-93
0,5.812499999999989,-93
0,5.849999999999989,-93
0,5.887499999999989,-93
0,5.924999999999988,-93
0,5.962499999999988,-92
0,5.999999999999988,-91
0,6.037499999999987,-91
0,6.074999999999987,-91
0,6.1124999999999865,-91
0,6.149999999999986,-91
0,6.187499999999986,-91
0,6.224999999999985,-90
0,6.262499999999985,-90
0,6.299999999999985,-90
0,6.337499999999984,-90
0,6.374999999999984,-90
0,6.412499999999984,-90
0,6.449999999999983,-89
0,6.487499999999983,-89
0,6.524999999999983,-89
0,6.562499999999982,-89
0,6.599999999999982,-89
0,6.6374999999999815,-89
0,6.674999999999981,-89
0,6.712499999999981,-89
0,6.7499999999999805,-89
0,6.78749999999998,-89
0,6.82499999999998,-88
0,6.862499999999979,-87
0,6.899999999999979,-87
0,6.937499999999979,-86
0,6.974999999999978,-86
0,7.012499999999978,-86
0,7.049999999999978,-86
0,7.087499999999977,-86
0,7.124999999999977,-86
0,7.1624999999999766,-86
0,7.199999999999976,-86
0,7.237499999999976,-86
0,7.2749999999999755,-86
0,7.312499999999975,-85
0,7.349999999999975,-85
0,7.387499999999974,-84
0,7.424999999999974,-84
0,7.462499999999974,-84
0,7.499999999999973,-84
0,7.537499999999973,-83
0,7.574999999999973,-82
0,7.612499999999972,-82
0,7.649999999999972,-82
0,7.687499999999972,-81
0,7.724999999999971,-81
0,7.762499999999971,-81
0,7.7999999999999705,-81
0,7.83749999999997,-80
0,7.87499999999997,-80
0,7.9124999999999694,-80
0,7.949999999999969,-79
0,7.987499999999969,-79
0,8.024999999999968,-79
0,8.062499999999968,-79
0,8.099999999999968,-79
0,8.137499999999967,-79
0,8.174999999999967,-78
0,8.212499999999967,-78
0,8.249999999999966,-78
0,8.287499999999966,-78
0,8.324999999999966,-78
0,8.362499999999965,-78
0,8.399999999999965,-78
0,8.437499999999964,-78
0,8.474999999999964,-77
0,8.512499999999964,-77
0,8.549999999999963,-77
0,8.587499999999963,-76
0,8.624999999999963,-76
0,8.662499999999962,-76
0,8.699999999999962,-76
0,8.737499999999962,-76
0,8.774999999999961,-76
0,8.812499999999961,-76
0,8.84999999999996,-76
0,8.88749999999996,-75
0,8.92499999999996,-75
0,8.96249999999996,-75
0,8.99999999999996,-75
0,9.037499999999959,-75
0,9.074999999999958,-75
